edge,time_s
2,1.02699E-07
3,2.02402E-07
4,3.01859E-07
5,4.01309E-07
6,5.00757E-07
7,6.00208E-07
8,6.99654E-07
9,7.99107E-07
10,8.9855E-07
11,9.98004E-07
12,1.09745E-06
13,1.1969E-06
14,1.29634E-06
15,1.39579E-06
16,1.49523E-06
17,1.59468E-06
18,1.69412E-06
19,1.79357E-06
20,1.89301E-06
21,1.99246E-06
22,2.0919E-06
23,2.19135E-06
24,2.29079E-06
25,2.39025E-06
26,2.48968E-06
27,2.58914E-06
28,2.68858E-06
29,2.78803E-06
30,2.88747E-06
31,2.98692E-06
32,3.08636E-06
33,3.18581E-06
34,3.28525E-06
35,3.3847E-06
36,3.48414E-06
37,3.58359E-06
38,3.68303E-06
39,3.78248E-06
40,3.88192E-06
41,3.98137E-06
42,4.08081E-06
43,4.18027E-06
44,4.27971E-06
45,4.37916E-06
46,4.4786E-06
47,4.57805E-06
48,4.67749E-06
49,4.77694E-06
50,4.87638E-06
51,4.97583E-06
52,5.07527E-06
53,5.17472E-06
54,5.27416E-06
55,5.37361E-06
56,5.47305E-06
57,5.57251E-06
58,5.67195E-06
59,5.7714E-06
60,5.87083E-06
61,5.97029E-06
62,6.06973E-06
63,6.16918E-06
64,6.26862E-06
65,6.36807E-06
66,6.46751E-06
67,6.56696E-06
68,6.6664E-06
69,6.76586E-06
70,6.86529E-06
71,6.96475E-06
72,7.06419E-06
73,7.16364E-06
74,7.26307E-06
75,7.36253E-06
76,7.46197E-06
77,7.56142E-06
78,7.66086E-06
79,7.76031E-06
80,7.85975E-06
81,7.95921E-06
82,8.05864E-06
83,8.15809E-06
84,8.25753E-06
85,8.35699E-06
86,8.45643E-06
87,8.55588E-06
88,8.65531E-06
89,8.75477E-06
90,8.85421E-06
91,8.95366E-06
92,9.0531E-06
93,9.15255E-06
94,9.25199E-06
95,9.35144E-06
96,9.45088E-06
97,9.55033E-06
98,9.64977E-06
99,9.74923E-06
100,9.84867E-06
101,9.94812E-06
102,1.00476E-05
103,1.0147E-05
104,1.02465E-05
105,1.03459E-05
106,1.04453E-05
107,1.05448E-05
108,1.06442E-05
109,1.07437E-05
110,1.08431E-05
111,1.09426E-05
112,1.1042E-05
113,1.11415E-05
114,1.12409E-05
115,1.13404E-05
116,1.14398E-05
117,1.15393E-05
118,1.16387E-05
119,1.17381E-05
120,1.18376E-05
121,1.1937E-05
122,1.20365E-05
123,1.21359E-05
124,1.22354E-05
125,1.23348E-05
126,1.24343E-05
127,1.25337E-05
128,1.26331E-05
129,1.27326E-05
130,1.2832E-05
131,1.29315E-05
132,1.30309E-05
133,1.31304E-05
134,1.32298E-05
135,1.33293E-05
136,1.34287E-05
137,1.35282E-05
138,1.36276E-05
139,1.37271E-05
140,1.38265E-05
141,1.39259E-05
142,1.40254E-05
143,1.41248E-05
144,1.42243E-05
145,1.43237E-05
146,1.44232E-05
147,1.45226E-05
148,1.46221E-05
149,1.47215E-05
150,1.48209E-05
