edge,time_s
2,1.75549E-07
3,3.42626E-07
4,5.09704E-07
5,6.76782E-07
6,8.43859E-07
7,1.01094E-06
8,1.17801E-06
9,1.34509E-06
10,1.51217E-06
11,1.67925E-06
12,1.84633E-06
13,2.0134E-06
14,2.18048E-06
15,2.34756E-06
16,2.51464E-06
17,2.68172E-06
18,2.8488E-06
19,3.01587E-06
20,3.18295E-06
21,3.35003E-06
22,3.51711E-06
23,3.68419E-06
24,3.85127E-06
25,4.01834E-06
26,4.18542E-06
27,4.3525E-06
28,4.51958E-06
29,4.68666E-06
30,4.85374E-06
31,5.02081E-06
32,5.18789E-06
33,5.35497E-06
34,5.52205E-06
35,5.68913E-06
36,5.85621E-06
37,6.02328E-06
38,6.19036E-06
39,6.35744E-06
40,6.52452E-06
41,6.6916E-06
42,6.85868E-06
43,7.02575E-06
44,7.19283E-06
45,7.35991E-06
46,7.52699E-06
47,7.69407E-06
48,7.86115E-06
49,8.02823E-06
50,8.1953E-06
51,8.36238E-06
52,8.52946E-06
53,8.69654E-06
54,8.86362E-06
55,9.03069E-06
56,9.19777E-06
57,9.36485E-06
58,9.53193E-06
59,9.69901E-06
60,9.86609E-06
61,1.00332E-05
62,1.02002E-05
63,1.03673E-05
64,1.05344E-05
65,1.07015E-05
66,1.08686E-05
67,1.10356E-05
68,1.12027E-05
69,1.13698E-05
70,1.15369E-05
71,1.1704E-05
72,1.1871E-05
73,1.20381E-05
74,1.22052E-05
75,1.23723E-05
76,1.25393E-05
77,1.27064E-05
78,1.28735E-05
79,1.30406E-05
80,1.32077E-05
81,1.33747E-05
82,1.35418E-05
83,1.37089E-05
84,1.3876E-05
85,1.40431E-05
86,1.42101E-05
87,1.43772E-05
88,1.45443E-05
89,1.47114E-05
90,1.48784E-05
91,1.50455E-05
92,1.52126E-05
93,1.53797E-05
94,1.55468E-05
95,1.57138E-05
96,1.58809E-05
97,1.6048E-05
98,1.62151E-05
99,1.63821E-05
100,1.65492E-05
101,1.67163E-05
102,1.68834E-05
103,1.70505E-05
104,1.72175E-05
105,1.73846E-05
106,1.75517E-05
107,1.77188E-05
108,1.78859E-05
109,1.80529E-05
110,1.822E-05
111,1.83871E-05
112,1.85542E-05
113,1.87212E-05
114,1.88883E-05
115,1.90554E-05
116,1.92225E-05
117,1.93896E-05
118,1.95566E-05
119,1.97237E-05
120,1.98908E-05
121,2.00579E-05
122,2.02249E-05
123,2.0392E-05
124,2.05591E-05
125,2.07262E-05
126,2.08933E-05
127,2.10603E-05
128,2.12274E-05
129,2.13945E-05
130,2.15616E-05
131,2.17287E-05
132,2.18957E-05
133,2.20628E-05
134,2.22299E-05
135,2.2397E-05
136,2.2564E-05
137,2.27311E-05
138,2.28982E-05
139,2.30653E-05
140,2.32324E-05
141,2.33994E-05
142,2.35665E-05
143,2.37336E-05
144,2.39007E-05
145,2.40678E-05
146,2.42348E-05
147,2.44019E-05
148,2.4569E-05
149,2.47361E-05
150,2.49031E-05
