run,freq_Hz,period_s,idd_A
1,5.58E+06,1.79E-07,3.05E-05
2,6.31E+06,1.58E-07,3.13E-05
3,6.78E+06,1.48E-07,3.06E-05
4,5.48E+06,1.82E-07,2.99E-05
5,6.26E+06,1.60E-07,2.77E-05
6,5.23E+06,1.91E-07,3.02E-05
7,6.34E+06,1.58E-07,2.91E-05
8,5.57E+06,1.79E-07,2.98E-05
9,6.46E+06,1.55E-07,3.10E-05
10,5.54E+06,1.81E-07,2.88E-05
11,5.88E+06,1.70E-07,3.04E-05
12,5.07E+06,1.97E-07,2.80E-05
13,4.64E+06,2.16E-07,2.98E-05
14,6.26E+06,1.60E-07,3.19E-05
15,5.85E+06,1.71E-07,3.39E-05
16,5.58E+06,1.79E-07,2.82E-05
17,5.32E+06,1.88E-07,3.13E-05
18,6.37E+06,1.57E-07,3.15E-05
19,6.79E+06,1.47E-07,2.97E-05
20,6.40E+06,1.56E-07,3.38E-05
21,6.02E+06,1.66E-07,2.94E-05
22,5.77E+06,1.73E-07,3.11E-05
23,6.12E+06,1.63E-07,3.10E-05
24,5.68E+06,1.76E-07,2.92E-05
25,7.09E+06,1.41E-07,3.11E-05
26,5.91E+06,1.69E-07,2.92E-05
27,4.99E+06,2.01E-07,2.77E-05
28,5.21E+06,1.92E-07,3.04E-05
29,5.53E+06,1.81E-07,3.04E-05
30,4.89E+06,2.04E-07,3.09E-05
31,6.11E+06,1.64E-07,3.08E-05
32,5.34E+06,1.87E-07,3.07E-05
33,5.81E+06,1.72E-07,3.02E-05
34,5.44E+06,1.84E-07,2.98E-05
35,4.64E+06,2.15E-07,3.28E-05
36,5.94E+06,1.68E-07,3.08E-05
37,5.31E+06,1.88E-07,3.14E-05
38,6.30E+06,1.59E-07,2.76E-05
39,5.89E+06,1.70E-07,2.98E-05
40,5.57E+06,1.79E-07,3.07E-05
41,5.77E+06,1.73E-07,3.14E-05
42,5.78E+06,1.73E-07,3.11E-05
43,6.11E+06,1.64E-07,2.92E-05
44,6.44E+06,1.55E-07,2.95E-05
45,5.78E+06,1.73E-07,3.19E-05
46,5.71E+06,1.75E-07,2.96E-05
47,6.33E+06,1.58E-07,2.92E-05
48,6.25E+06,1.60E-07,2.97E-05
49,5.76E+06,1.74E-07,3.07E-05
50,6.37E+06,1.57E-07,2.93E-05
51,5.64E+06,1.77E-07,3.02E-05
52,4.76E+06,2.10E-07,3.11E-05
53,5.75E+06,1.74E-07,2.91E-05
54,6.26E+06,1.60E-07,2.88E-05
55,6.11E+06,1.64E-07,3.10E-05
56,6.01E+06,1.66E-07,2.83E-05
57,5.91E+06,1.69E-07,3.20E-05
58,6.12E+06,1.63E-07,2.86E-05
59,5.83E+06,1.72E-07,2.85E-05
60,6.09E+06,1.64E-07,3.03E-05
61,5.88E+06,1.70E-07,2.83E-05
62,5.48E+06,1.83E-07,3.02E-05
63,6.60E+06,1.51E-07,2.91E-05
64,6.43E+06,1.56E-07,3.15E-05
65,5.04E+06,1.98E-07,2.96E-05
66,6.29E+06,1.59E-07,3.06E-05
67,6.18E+06,1.62E-07,3.17E-05
68,5.19E+06,1.93E-07,3.01E-05
69,6.47E+06,1.55E-07,2.80E-05
70,6.30E+06,1.59E-07,2.99E-05
71,6.29E+06,1.59E-07,3.24E-05
72,4.40E+06,2.27E-07,2.92E-05
73,5.55E+06,1.80E-07,3.26E-05
