run,freq_Hz,period_s,idd_A,,,,
1,5.26E+06,1.90E-07,0.000126022,,,,
2,6.25E+06,1.60E-07,0.000127694,,,,
3,6.14E+06,1.63E-07,0.0001227,,,,
4,6.57E+06,1.52E-07,0.000129625,,,,
5,5.06E+06,1.98E-07,0.000129474,,,,
6,6.39E+06,1.57E-07,0.000128746,,,,
7,6.21E+06,1.61E-07,0.000129175,,,,
8,5.00E+06,2.00E-07,0.000124952,,,,
9,5.57E+06,1.80E-07,0.000123134,,,,
10,5.82E+06,1.72E-07,0.000128794,,,,
11,5.79E+06,1.73E-07,0.000127131,,,,
12,5.62E+06,1.78E-07,0.000124477,,,,
13,6.05E+06,1.65E-07,0.000126717,,,,
14,5.59E+06,1.79E-07,0.000129571,,,,
15,5.01E+06,2.00E-07,0.00012968,,,,
16,5.44E+06,1.84E-07,0.000120404,,,,
17,6.18E+06,1.62E-07,0.000129655,,,,
18,5.41E+06,1.85E-07,0.000125187,,,,
19,5.92E+06,1.69E-07,0.000122745,,,,
20,,,,,0,0,0
21,4.25E+06,2.35E-07,0.000126905,,,,
22,6.36E+06,1.57E-07,0.000129157,,,,
23,6.15E+06,1.63E-07,0.000132576,,,,
24,6.11E+06,1.64E-07,0.000128576,,,,
25,6.05E+06,1.65E-07,0.000122047,,,,
26,6.02E+06,1.66E-07,0.000120553,,,,
27,6.03E+06,1.66E-07,0.000128947,,,,
28,6.40E+06,1.56E-07,0.000129285,,,,
29,6.91E+06,1.45E-07,0.00012507,,,,
30,5.53E+06,1.81E-07,0.000122054,,,,
31,5.86E+06,1.71E-07,0.000126858,,,,
32,6.13E+06,1.63E-07,0.000133702,,,,
33,6.34E+06,1.58E-07,0.000130051,,,,
34,5.72E+06,1.75E-07,0.000129381,,,,
35,6.53E+06,1.53E-07,0.00013575,,,,
36,5.41E+06,1.85E-07,0.000130777,,,,
37,6.20E+06,1.61E-07,0.000130737,,,,
38,5.35E+06,1.87E-07,0.000120231,,,,
39,5.32E+06,1.88E-07,0.000125286,,,,
40,6.66E+06,1.50E-07,0.000131234,,,,
41,5.84E+06,1.71E-07,0.000125357,,,,
42,6.25E+06,1.60E-07,0.00013185,,,,
43,6.59E+06,1.52E-07,0.000127149,,,,
44,6.41E+06,1.56E-07,0.000127909,,,,
45,6.17E+06,1.62E-07,0.000126608,,,,
46,5.78E+06,1.73E-07,0.00012687,,,,
47,5.67E+06,1.76E-07,0.000134758,,,,
48,6.17E+06,1.62E-07,0.000124432,,,,
49,5.98E+06,1.67E-07,0.000125322,,,,
50,4.52E+06,2.21E-07,0.000128867,,,,
51,5.95E+06,1.68E-07,0.000127221,,,,
52,4.79E+06,2.09E-07,0.00012777,,,,
53,6.29E+06,1.59E-07,0.000129114,,,,
54,4.81E+06,2.08E-07,0.000130097,,,,
55,5.96E+06,1.68E-07,0.000120048,,,,
56,5.77E+06,1.73E-07,0.00012846,,,,
57,5.73E+06,1.74E-07,0.000127912,,,,
58,6.07E+06,1.65E-07,0.000128442,,,,
59,4.98E+06,2.01E-07,0.000126804,,,,
60,5.94E+06,1.68E-07,0.000124792,,,,
61,6.38E+06,1.57E-07,0.000129575,,,,
62,6.16E+06,1.62E-07,0.000134997,,,,
63,6.05E+06,1.65E-07,0.00013582,,,,
64,5.82E+06,1.72E-07,0.000127429,,,,
65,5.71E+06,1.75E-07,0.000128263,,,,
66,5.97E+06,1.67E-07,0.00012986,,,,
67,6.01E+06,1.66E-07,0.000126998,,,,
68,5.42E+06,1.85E-07,0.000129274,,,,
69,4.58E+06,2.18E-07,3.91E-05,,,,
70,6.75E+06,1.48E-07,0.000134218,,,,
71,6.45E+06,1.55E-07,0.000133201,,,,
72,6.08E+06,1.64E-07,0.000128306,,,,
73,6.78E+06,1.47E-07,0.000128823,,,,
74,4.15E+06,2.41E-07,0.000130605,,,,
75,,,,,0,0,0
76,5.73E+06,1.75E-07,0.000127656,,,,
77,,,,,0,0,0
78,5.97E+06,1.67E-07,0.000122252,,,,
79,6.08E+06,1.65E-07,3.63E-05,,,,
80,6.60E+06,1.51E-07,0.000130625,,,,
