run,freq_Hz,period_s,idd_A
1,4.9839E+06,2.00646E-07,0.000129246
2,5.85498E+06,1.70795E-07,0.000129761
3,5.91959E+06,1.6893E-07,0.000129117
4,5.51285E+06,1.81394E-07,0.000130887
5,6.35264E+06,1.57415E-07,0.000125652
6,6.13287E+06,1.63056E-07,0.000124039
7,5.93941E+06,1.68367E-07,0.000129536
8,6.2488E+06,1.60031E-07,0.000127207
9,5.84581E+06,1.71063E-07,0.000133601
10,5.00071E+06,1.99972E-07,0.000128168
11,5.90606E+06,1.69318E-07,3.31551E-05
12,6.11397E+06,1.6356E-07,0.00012864
13,5.03101E+06,1.98767E-07,0.000131082
14,6.31796E+06,1.58279E-07,0.00012889
15,5.50629E+06,1.81611E-07,0.000121955
16,6.55432E+06,1.52571E-07,0.000130234
17,5.99447E+06,1.6682E-07,0.000130932
18,4.88448E+06,2.0473E-07,0.000127761
19,5.03916E+06,1.98446E-07,0.000118333
20,5.61444E+06,1.78112E-07,0.000126274
21,5.65918E+06,1.76704E-07,0.00012777
22,4.94323E+06,2.02297E-07,0.00012328
23,4.95041E+06,2.02003E-07,0.000135156
24,5.41773E+06,1.84579E-07,0.000127166
25,5.29751E+06,1.88768E-07,0.000134255
26,5.32721E+06,1.87715E-07,0.000127361
27,5.85769E+06,1.70716E-07,0.00012973
28,5.08397E+06,1.96697E-07,0.0001297
29,6.15046E+06,1.62589E-07,0.000133111
30,5.72437E+06,1.74692E-07,0.000128185
31,4.80367E+06,2.08174E-07,0.00012745
32,0,0,0
33,7.36678E+06,1.35744E-07,0.000128677
34,5.94953E+06,1.6808E-07,0.000129613
35,5.54452E+06,1.80358E-07,0.000129399
36,5.32515E+06,1.87788E-07,0.000125483
37,6.09011E+06,1.64201E-07,0.000135586
38,5.54152E+06,1.80456E-07,0.000130643
39,6.00588E+06,1.66503E-07,0.000129862
40,5.13378E+06,1.94788E-07,0.000127233
41,0,0,0
42,5.47917E+06,1.82509E-07,0.000124499
43,7.12595E+06,1.40332E-07,0.000126176
44,6.38729E+06,1.56561E-07,0.000123927
45,5.53989E+06,1.80509E-07,0.000122202
46,6.66176E+06,1.5011E-07,0.000123058
47,6.7039E+06,1.49167E-07,0.000128326
48,6.68176E+06,1.49661E-07,0.00013212
49,6.539E+06,1.52929E-07,0.000134556
50,5.88407E+06,1.6995E-07,0.000128296
51,6.35274E+06,1.57413E-07,0.000131049
52,5.06136E+06,1.97575E-07,0.00012935
53,6.3037E+06,1.58637E-07,0.000128621
54,5.56867E+06,1.79576E-07,0.000125218
55,5.7682E+06,1.73364E-07,0.000125518
56,5.16568E+06,1.93585E-07,0.000125478
57,6.24998E+06,1.60001E-07,0.000131881
58,6.19287E+06,1.61476E-07,0.000130319
59,6.09409E+06,1.64093E-07,0.000130404
60,5.10905E+06,1.95731E-07,0.000127422
61,6.31716E+06,1.58299E-07,0.00013105
62,6.02209E+06,1.66055E-07,0.000124903
63,6.10483E+06,1.63805E-07,0.000130943
64,6.23861E+06,1.60292E-07,0.000126324
65,5.65627E+06,1.76795E-07,0.000134789
66,4.85025E+06,2.06175E-07,0.000126005
67,5.89722E+06,1.69571E-07,0.00012724
68,6.297E+06,1.58806E-07,0.000131711
69,5.57497E+06,1.79373E-07,0.000129875
70,5.84722E+06,1.71021E-07,0.000128828
71,5.95945E+06,1.67801E-07,0.000132787
72,6.15399E+06,1.62496E-07,0.000131391
73,6.06784E+06,1.64803E-07,0.000129281
74,6.04328E+06,1.65473E-07,0.000132822
75,4.93225E+06,2.02747E-07,0.000127371
76,6.60481E+06,1.51405E-07,0.000125873
77,4.44514E+06,2.24965E-07,0.000131078
78,6.48218E+06,1.54269E-07,0.000131313
79,5.27544E+06,1.89558E-07,0.000124947
80,6.07583E+06,1.64587E-07,0.000131037
81,5.24587E+06,1.90626E-07,0.000131921
82,6.92327E+06,1.4444E-07,0.000127924
83,5.74724E+06,1.73997E-07,0.000128021
84,5.98333E+06,1.67131E-07,3.2583E-05
85,5.51678E+06,1.81265E-07,0.000126716
86,5.70649E+06,1.75239E-07,0.000124874
87,6.0899E+06,1.64206E-07,0.000133106
88,5.45736E+06,1.83239E-07,0.000133191
89,5.43079E+06,1.84135E-07,3.92847E-05
90,5.75758E+06,1.73684E-07,0.000127641
91,6.95751E+06,1.4373E-07,0.000129778
92,5.47195E+06,1.8275E-07,0.000130794
93,5.14076E+06,1.94524E-07,0.00013256
94,6.19014E+06,1.61547E-07,0.000127676
95,6.05969E+06,1.65025E-07,3.49967E-05
96,5.92887E+06,1.68666E-07,0.000135939
97,6.34771E+06,1.57537E-07,0.000127826
98,6.83745E+06,1.46253E-07,0.000130069
99,6.35432E+06,1.57373E-07,0.000127713
100,5.71744E+06,1.74903E-07,0.000132062
101,5.82744E+06,1.71602E-07,0.000126613
102,5.94996E+06,1.68068E-07,0.000128247
103,5.95784E+06,1.67846E-07,0.00013239
104,5.26134E+06,1.90066E-07,0.00012477
105,5.4458E+06,1.83628E-07,0.000126573
106,5.95855E+06,1.67826E-07,0.000124237
107,6.66101E+06,1.50127E-07,0.000132671
108,5.97972E+06,1.67232E-07,0.000129893
109,5.67879E+06,1.76094E-07,0.000124066
110,5.16204E+06,1.93722E-07,0.000131
111,5.60561E+06,1.78393E-07,0.000131547
112,6.03944E+06,1.65578E-07,0.000128093
113,5.74708E+06,1.74001E-07,0.000129031
114,5.73364E+06,1.74409E-07,0.000128653
115,5.75221E+06,1.73846E-07,0.000129304
116,7.26857E+06,1.37579E-07,0.00012652
117,6.63723E+06,1.50665E-07,0.000134022
118,0,0,0
119,6.16629E+06,1.62172E-07,0.000120519
120,5.54551E+06,1.80326E-07,3.47462E-05
121,6.0267E+06,1.65928E-07,0.000125053
122,5.34719E+06,1.87014E-07,0.000120975
123,6.01515E+06,1.66247E-07,0.000135255
124,6.05632E+06,1.65117E-07,0.00013343
125,5.48991E+06,1.82152E-07,0.000125478
126,6.12828E+06,1.63178E-07,0.00012838
127,5.85261E+06,1.70864E-07,0.000130696
128,5.92508E+06,1.68774E-07,0.0001276
129,6.15404E+06,1.62495E-07,0.000138714
130,4.63428E+06,2.15783E-07,0.000131554
131,6.17706E+06,1.61889E-07,0.000127951
132,3.65941E+06,2.73268E-07,3.83839E-05
133,5.69799E+06,1.755E-07,0.000123233
134,5.71519E+06,1.74972E-07,0.000133887
135,5.44416E+06,1.83683E-07,0.000133255
136,5.24647E+06,1.90604E-07,0.00013157
137,5.36799E+06,1.86289E-07,0.000126763
138,6.12832E+06,1.63177E-07,0.000120175
139,6.05876E+06,1.6505E-07,0.000124899
140,5.4184E+06,1.84556E-07,0.000129624
141,5.50139E+06,1.81772E-07,0.000128282
