run,freq_Hz,period_s,idd_A
1,4.98E+06,2.01E-07,0.000129246
2,5.85E+06,1.71E-07,0.000129761
3,5.92E+06,1.69E-07,0.000129117
4,5.51E+06,1.81E-07,0.000130887
5,6.35E+06,1.57E-07,0.000125652
6,6.13E+06,1.63E-07,0.000124039
7,5.94E+06,1.68E-07,0.000129536
8,6.25E+06,1.60E-07,0.000127207
9,5.85E+06,1.71E-07,0.000133601
10,5.00E+06,2.00E-07,0.000128168
11,5.91E+06,1.69E-07,3.32E-05
12,6.11E+06,1.64E-07,0.00012864
13,5.03E+06,1.99E-07,0.000131082
14,6.32E+06,1.58E-07,0.00012889
15,5.51E+06,1.82E-07,0.000121955
16,6.55E+06,1.53E-07,0.000130234
17,5.99E+06,1.67E-07,0.000130932
18,4.88E+06,2.05E-07,0.000127761
19,5.04E+06,1.98E-07,0.000118333
20,5.61E+06,1.78E-07,0.000126274
21,5.66E+06,1.77E-07,0.00012777
22,4.94E+06,2.02E-07,0.00012328
23,4.95E+06,2.02E-07,0.000135156
24,5.42E+06,1.85E-07,0.000127166
25,5.30E+06,1.89E-07,0.000134255
26,5.33E+06,1.88E-07,0.000127361
27,5.86E+06,1.71E-07,0.00012973
28,5.08E+06,1.97E-07,0.0001297
29,6.15E+06,1.63E-07,0.000133111
30,5.72E+06,1.75E-07,0.000128185
31,4.80E+06,2.08E-07,0.00012745
32,5.89E+06,1.70E-07,0.000129538
33,7.37E+06,1.36E-07,0.000128677
34,5.95E+06,1.68E-07,0.000129613
35,5.54E+06,1.80E-07,0.000129399
36,5.33E+06,1.88E-07,0.000125483
37,6.09E+06,1.64E-07,0.000135586
38,5.54E+06,1.80E-07,0.000130643
39,6.01E+06,1.67E-07,0.000129862
40,5.13E+06,1.95E-07,0.000127233
41,6.14E+06,1.63E-07,0.000131049
42,5.48E+06,1.83E-07,0.000124499
43,7.13E+06,1.40E-07,0.000126176
44,6.39E+06,1.57E-07,0.000123927
45,5.54E+06,1.81E-07,0.000122202
46,6.66E+06,1.50E-07,0.000123058
47,6.70E+06,1.49E-07,0.000128326
48,6.68E+06,1.50E-07,0.00013212
49,6.54E+06,1.53E-07,0.000134556
50,5.88E+06,1.70E-07,0.000128296
51,6.35E+06,1.57E-07,0.000131049
52,5.06E+06,1.98E-07,0.00012935
53,6.30E+06,1.59E-07,0.000128621
54,5.57E+06,1.80E-07,0.000125218
55,5.77E+06,1.73E-07,0.000125518
56,5.17E+06,1.94E-07,0.000125478
57,6.25E+06,1.60E-07,0.000131881
58,6.19E+06,1.61E-07,0.000130319
59,6.09E+06,1.64E-07,0.000130404
60,5.11E+06,1.96E-07,0.000127422
61,6.32E+06,1.58E-07,0.00013105
62,6.02E+06,1.66E-07,0.000124903
63,6.10E+06,1.64E-07,0.000130943
64,6.24E+06,1.60E-07,0.000126324
65,5.66E+06,1.77E-07,0.000134789
66,4.85E+06,2.06E-07,0.000126005
67,5.90E+06,1.70E-07,0.00012724
68,6.30E+06,1.59E-07,0.000131711
69,5.57E+06,1.79E-07,0.000129875
70,5.85E+06,1.71E-07,0.000128828
71,5.96E+06,1.68E-07,0.000132787
72,6.15E+06,1.62E-07,0.000131391
73,6.07E+06,1.65E-07,0.000129281
74,6.04E+06,1.65E-07,0.000132822
75,4.93E+06,2.03E-07,0.000127371
76,6.60E+06,1.51E-07,0.000125873
77,4.45E+06,2.25E-07,0.000131078
78,6.48E+06,1.54E-07,0.000131313
79,5.28E+06,1.90E-07,0.000124947
80,6.08E+06,1.65E-07,0.000131037
81,5.25E+06,1.91E-07,0.000131921
82,6.92E+06,1.44E-07,0.000127924
83,5.75E+06,1.74E-07,0.000128021
84,5.98E+06,1.67E-07,3.26E-05
85,5.52E+06,1.81E-07,0.000126716
86,5.71E+06,1.75E-07,0.000124874
87,6.09E+06,1.64E-07,0.000133106
88,5.46E+06,1.83E-07,0.000133191
89,5.43E+06,1.84E-07,3.93E-05
90,5.76E+06,1.74E-07,0.000127641
91,6.96E+06,1.44E-07,0.000129778
92,5.47E+06,1.83E-07,0.000130794
93,5.14E+06,1.95E-07,0.00013256
94,6.19E+06,1.62E-07,0.000127676
95,6.06E+06,1.65E-07,3.50E-05
96,5.93E+06,1.69E-07,0.000135939
97,6.35E+06,1.58E-07,0.000127826
98,6.84E+06,1.46E-07,0.000130069
99,6.35E+06,1.57E-07,0.000127713
100,5.72E+06,1.75E-07,0.000132062
101,5.83E+06,1.72E-07,0.000126613
102,5.95E+06,1.68E-07,0.000128247
103,5.96E+06,1.68E-07,0.00013239
104,5.26E+06,1.90E-07,0.00012477
105,5.45E+06,1.84E-07,0.000126573
106,5.96E+06,1.68E-07,0.000124237
107,6.66E+06,1.50E-07,0.000132671
108,5.98E+06,1.67E-07,0.000129893
109,5.68E+06,1.76E-07,0.000124066
110,5.16E+06,1.94E-07,0.000131
111,5.61E+06,1.78E-07,0.000131547
112,6.04E+06,1.66E-07,0.000128093
113,5.75E+06,1.74E-07,0.000129031
114,5.73E+06,1.74E-07,0.000128653
115,5.75E+06,1.74E-07,0.000129304
116,7.27E+06,1.38E-07,0.00012652
117,6.64E+06,1.51E-07,0.000134022
118,5.47E+06,1.83E-07,0.000131375
119,6.17E+06,1.62E-07,0.000120519
120,5.55E+06,1.80E-07,3.47E-05
121,6.03E+06,1.66E-07,0.000125053
122,5.35E+06,1.87E-07,0.000120975
123,6.02E+06,1.66E-07,0.000135255
124,6.06E+06,1.65E-07,0.00013343
125,5.49E+06,1.82E-07,0.000125478
126,6.13E+06,1.63E-07,0.00012838
127,5.85E+06,1.71E-07,0.000130696
128,5.93E+06,1.69E-07,0.0001276
129,6.15E+06,1.62E-07,0.000138714
130,4.63E+06,2.16E-07,0.000131554
131,6.18E+06,1.62E-07,0.000127951
132,3.66E+06,2.73E-07,3.84E-05
133,5.70E+06,1.76E-07,0.000123233
134,5.72E+06,1.75E-07,0.000133887
135,5.44E+06,1.84E-07,0.000133255
136,5.25E+06,1.91E-07,0.00013157
137,5.37E+06,1.86E-07,0.000126763
138,6.13E+06,1.63E-07,0.000120175
139,6.06E+06,1.65E-07,0.000124899
140,5.42E+06,1.85E-07,0.000129624
141,5.50E+06,1.82E-07,0.000128282
142,5.43E+06,1.84E-07,0.000123819
143,5.91E+06,1.69E-07,0.0001288
144,7.06E+06,1.42E-07,0.000125822
145,5.64E+06,1.77E-07,0.000126095
146,5.55E+06,1.80E-07,0.000129287
147,6.35E+06,1.58E-07,0.000126824
148,5.90E+06,1.70E-07,0.000127928
149,5.29E+06,1.89E-07,0.000130608
150,6.11E+06,1.64E-07,0.000134166
151,6.12E+06,1.64E-07,0.000122767
152,6.85E+06,1.46E-07,0.000134162
153,7.06E+06,1.42E-07,0.000133612
154,6.10E+06,1.64E-07,0.000132457
155,6.33E+06,1.58E-07,0.00013132
156,5.26E+06,1.90E-07,0.000125264
157,6.11E+06,1.64E-07,0.000126672
158,4.93E+06,2.03E-07,0.000134536
159,6.08E+06,1.64E-07,0.00013616
160,7.03E+06,1.42E-07,0.000131035
161,5.64E+06,1.77E-07,0.000117893
162,5.62E+06,1.78E-07,0.000129542
163,5.78E+06,1.73E-07,0.000133191
164,5.64E+06,1.77E-07,0.000129701
165,6.49E+06,1.54E-07,0.000123784
166,6.24E+06,1.60E-07,0.000129383
167,4.98E+06,2.01E-07,0.000126885
168,6.21E+06,1.61E-07,0.000131247
169,6.45E+06,1.55E-07,0.000133475
170,5.85E+06,1.71E-07,0.000127791
171,6.36E+06,1.57E-07,0.000127552
172,6.09E+06,1.64E-07,0.000127437
173,5.89E+06,1.70E-07,0.000126193
174,5.58E+06,1.79E-07,0.000129447
175,6.21E+06,1.61E-07,0.000121222
176,6.32E+06,1.58E-07,0.000128794
177,6.22E+06,1.61E-07,0.00012328
178,6.70E+06,1.49E-07,0.000127057
179,6.18E+06,1.62E-07,0.000126886
180,4.95E+06,2.02E-07,0.000121899
181,6.09E+06,1.64E-07,0.000129417
182,6.06E+06,1.65E-07,0.000128869
183,6.07E+06,1.65E-07,0.000126543
184,6.26E+06,1.60E-07,0.000128005
185,5.95E+06,1.68E-07,0.000127741
186,6.11E+06,1.64E-07,0.000121697
187,5.82E+06,1.72E-07,0.000127849
188,6.68E+06,1.50E-07,0.000129381
189,6.02E+06,1.66E-07,0.000126029
190,6.27E+06,1.60E-07,0.000133797
191,5.08E+06,1.97E-07,0.000126621
192,5.59E+06,1.79E-07,0.000130352
193,6.03E+06,1.66E-07,0.000125239
194,5.14E+06,1.95E-07,3.10E-05
195,5.50E+06,1.82E-07,0.000130783
196,5.39E+06,1.86E-07,0.000127009
197,5.94E+06,1.68E-07,0.000128354
198,5.75E+06,1.74E-07,0.000133343
199,6.57E+06,1.52E-07,0.000131072
200,5.88E+06,1.70E-07,0.000137011
201,4.93E+06,2.03E-07,0.0001326
202,6.03E+06,1.66E-07,0.000122992
203,5.75E+06,1.74E-07,0.000129146
204,5.76E+06,1.74E-07,0.00012804
205,6.36E+06,1.57E-07,0.000125565
206,5.45E+06,1.84E-07,0.000124348
207,6.03E+06,1.66E-07,0.000127472
208,5.54E+06,1.80E-07,0.000125084
209,6.35E+06,1.58E-07,0.000129919
210,6.37E+06,1.57E-07,0.000129611
211,5.88E+06,1.70E-07,0.000126095
212,5.63E+06,1.78E-07,0.000125576
213,5.82E+06,1.72E-07,0.000129478
214,5.67E+06,1.76E-07,0.000129393
215,5.30E+06,1.89E-07,0.00012144
216,6.46E+06,1.55E-07,0.000130376
217,6.09E+06,1.64E-07,0.000129348
218,6.60E+06,1.52E-07,0.000129196
219,5.65E+06,1.77E-07,0.000130871
220,6.07E+06,1.65E-07,0.000125527
221,5.86E+06,1.71E-07,0.000125948
222,4.95E+06,2.02E-07,0.000128891
223,5.77E+06,1.73E-07,0.000128762
224,6.73E+06,1.49E-07,0.000129044
225,5.88E+06,1.70E-07,0.000126638
226,4.66E+06,2.14E-07,0.000128138
227,5.80E+06,1.72E-07,0.000128825
228,6.37E+06,1.57E-07,0.000127438
229,5.57E+06,1.79E-07,0.000131984
230,5.61E+06,1.78E-07,0.000128746
231,6.20E+06,1.61E-07,0.00012297
232,6.52E+06,1.53E-07,0.000125765
233,5.99E+06,1.67E-07,0.000133069
234,4.61E+06,2.17E-07,0.000130441
235,5.89E+06,1.70E-07,0.000129337
236,6.35E+06,1.57E-07,0.000123889
237,6.05E+06,1.65E-07,0.000126541
238,4.46E+06,2.24E-07,0.000130632
239,5.83E+06,1.71E-07,0.000126533
240,6.36E+06,1.57E-07,0.00013559
241,6.25E+06,1.60E-07,0.000129341
242,6.09E+06,1.64E-07,0.000127802
243,5.79E+06,1.73E-07,0.000127069
244,6.38E+06,1.57E-07,0.000126008
245,5.35E+06,1.87E-07,0.000123522
246,5.09E+06,1.97E-07,0.000125374
247,6.15E+06,1.63E-07,0.000130802
248,5.48E+06,1.82E-07,0.000125113
249,5.99E+06,1.67E-07,0.000131264
250,5.78E+06,1.73E-07,0.00012964
251,6.53E+06,1.53E-07,0.00012833
252,5.03E+06,1.99E-07,0.000130054
253,6.65E+06,1.50E-07,0.000128786
254,6.00E+06,1.67E-07,0.000130474
255,6.31E+06,1.59E-07,0.000132196
256,6.45E+06,1.55E-07,0.000129883
257,5.63E+06,1.78E-07,0.000123773
258,6.13E+06,1.63E-07,0.000130787
259,5.63E+06,1.78E-07,0.000133631
