run,freq_Hz,period_s,idd_A
1,9.70E+06,1.03E-07,3.64E-05
2,9.84E+06,1.02E-07,3.22E-05
3,7.71E+06,1.30E-07,3.37E-05
4,9.56E+06,1.05E-07,3.27E-05
5,6.37E+06,1.86E-07,3.40E-05
6,1.06E+07,9.43E-08,3.37E-05
7,8.78E+06,1.14E-07,3.20E-05
8,1.06E+07,9.41E-08,2.99E-05
9,8.86E+06,1.13E-07,3.16E-05
10,8.50E+06,1.18E-07,2.94E-05
11,8.64E+06,1.16E-07,3.21E-05
12,8.12E+06,1.23E-07,2.83E-05
13,9.60E+06,1.04E-07,3.25E-05
14,1.04E+07,9.64E-08,3.23E-05
15,1.06E+07,9.47E-08,3.02E-05
16,8.47E+06,1.18E-07,3.23E-05
17,1.22E+07,8.22E-08,3.31E-05
18,8.58E+06,1.17E-07,3.20E-05
19,8.24E+06,1.21E-07,3.53E-05
20,1.08E+07,9.29E-08,3.31E-05
21,7.62E+06,1.31E-07,3.18E-05
22,8.32E+06,1.20E-07,3.27E-05
23,1.01E+07,9.91E-08,3.26E-05
24,1.03E+07,9.73E-08,3.15E-05
25,8.12E+06,1.23E-07,3.32E-05
26,6.73E+06,1.49E-07,3.77E-05
27,1.13E+07,8.86E-08,3.24E-05
28,1.15E+07,8.69E-08,3.15E-05
29,8.52E+06,1.17E-07,3.26E-05
30,1.10E+07,9.05E-08,3.36E-05
31,9.05E+06,1.10E-07,3.17E-05
32,9.47E+06,1.06E-07,3.40E-05
33,9.64E+06,1.04E-07,2.91E-05
34,1.11E+07,8.97E-08,3.03E-05
35,9.70E+06,1.03E-07,3.02E-05
36,1.03E+07,9.75E-08,3.19E-05
37,1.26E+07,7.95E-08,3.46E-05
38,9.44E+06,1.06E-07,2.99E-05
39,9.73E+06,1.03E-07,3.14E-05
40,5.84E+06,2.61E-07,3.41E-05
41,9.78E+06,1.02E-07,3.56E-05
42,7.73E+06,1.29E-07,3.13E-05
43,8.28E+06,1.21E-07,3.13E-05
44,7.95E+06,1.26E-07,3.79E-05
45,9.40E+06,1.06E-07,2.96E-05
46,1.10E+07,9.13E-08,2.92E-05
47,9.77E+06,1.02E-07,3.08E-05
48,7.39E+06,1.35E-07,3.27E-05
49,1.12E+07,8.95E-08,3.24E-05
50,7.74E+06,1.29E-07,3.38E-05
51,6.95E+06,1.44E-07,3.36E-05
52,5.94E+06,1.68E-07,3.39E-05
53,5.10E+06,1.96E-07,3.40E-05
54,1.15E+07,8.70E-08,3.17E-05
55,1.14E+07,8.74E-08,3.11E-05
56,9.27E+06,1.08E-07,3.19E-05
57,8.00E+06,1.25E-07,2.88E-05
58,1.02E+07,9.79E-08,3.05E-05
59,8.40E+06,1.19E-07,3.12E-05
60,6.74E+06,2.11E-07,3.31E-05
61,1.02E+07,9.78E-08,3.23E-05
62,5.84E+06,1.71E-07,3.42E-05
63,9.29E+06,1.08E-07,3.25E-05
64,9.49E+06,1.05E-07,3.09E-05
65,1.01E+07,9.86E-08,3.08E-05
66,7.90E+06,1.27E-07,3.37E-05
67,1.04E+07,9.60E-08,3.47E-05
68,1.00E+07,1.00E-07,2.91E-05
69,1.01E+07,9.87E-08,3.55E-05
70,7.15E+06,1.40E-07,3.49E-05
71,1.27E+07,7.87E-08,3.43E-05
72,9.49E+06,1.05E-07,3.27E-05
73,8.37E+06,1.20E-07,3.17E-05
74,9.28E+06,1.08E-07,3.03E-05
75,8.90E+06,1.12E-07,3.00E-05
76,6.04E+06,1.65E-07,3.48E-05
77,9.66E+06,1.03E-07,3.17E-05
78,1.07E+07,9.37E-08,3.34E-05
79,8.36E+06,1.20E-07,3.28E-05
80,8.66E+06,1.15E-07,3.44E-05
81,1.15E+07,8.69E-08,3.32E-05
82,9.54E+06,1.05E-07,3.04E-05
83,9.47E+06,1.06E-07,3.31E-05
84,1.04E+07,9.66E-08,2.93E-05
85,1.04E+07,9.58E-08,2.96E-05
86,9.59E+06,1.04E-07,3.65E-05
87,8.48E+06,1.18E-07,3.17E-05
88,9.83E+06,1.02E-07,3.17E-05
89,9.59E+06,1.04E-07,3.30E-05
90,6.12E+06,1.63E-07,3.23E-05
91,5.45E+06,1.84E-07,3.12E-05
92,1.12E+07,8.90E-08,3.40E-05
93,9.19E+06,1.09E-07,3.53E-05
94,8.39E+06,1.19E-07,3.21E-05
95,1.07E+07,9.31E-08,2.98E-05
96,9.45E+06,1.06E-07,3.62E-05
97,1.03E+07,9.69E-08,3.28E-05
98,9.44E+06,1.06E-07,3.08E-05
99,6.36E+06,2.98E-07,3.85E-05
100,1.08E+07,9.24E-08,2.95E-05
