run,freq_Hz,period_s,idd_A
1,1.95E+06,5.12E-07,2.93E-05
2,2.30E+06,4.35E-07,3.33E-05
3,2.18E+06,4.59E-07,2.80E-05
4,1.84E+06,5.42E-07,3.00E-05
5,2.09E+06,4.78E-07,3.06E-05
6,2.16E+06,4.62E-07,2.93E-05
7,1.80E+06,5.57E-07,2.92E-05
8,2.22E+06,4.50E-07,2.95E-05
9,1.99E+06,5.03E-07,2.94E-05
10,1.93E+06,5.19E-07,2.82E-05
11,1.93E+06,5.18E-07,2.89E-05
12,2.09E+06,4.79E-07,2.97E-05
13,1.91E+06,5.23E-07,3.39E-05
14,2.11E+06,4.73E-07,3.17E-05
15,2.03E+06,4.93E-07,3.09E-05
16,2.08E+06,4.81E-07,3.14E-05
17,2.14E+06,4.67E-07,3.10E-05
18,1.90E+06,5.25E-07,2.80E-05
19,1.90E+06,5.27E-07,3.03E-05
20,2.02E+06,4.94E-07,3.25E-05
21,2.04E+06,4.89E-07,3.21E-05
22,2.10E+06,4.77E-07,2.94E-05
23,2.26E+06,4.42E-07,2.88E-05
24,1.91E+06,5.22E-07,2.99E-05
25,2.01E+06,4.97E-07,2.84E-05
26,1.90E+06,5.25E-07,3.17E-05
27,1.89E+06,5.28E-07,3.13E-05
28,2.06E+06,4.86E-07,3.15E-05
29,1.71E+06,5.84E-07,3.07E-05
30,1.96E+06,5.10E-07,2.96E-05
31,1.85E+06,5.40E-07,2.80E-05
32,2.04E+06,4.89E-07,3.13E-05
33,2.10E+06,4.77E-07,3.07E-05
34,2.05E+06,4.88E-07,2.92E-05
35,2.18E+06,4.59E-07,2.84E-05
36,2.16E+06,4.63E-07,3.22E-05
37,2.34E+06,4.28E-07,3.05E-05
38,1.87E+06,5.36E-07,3.18E-05
39,2.03E+06,4.93E-07,2.75E-05
40,2.12E+06,4.72E-07,3.18E-05
41,2.25E+06,4.45E-07,3.12E-05
42,2.04E+06,4.90E-07,3.13E-05
43,1.89E+06,5.28E-07,3.14E-05
44,1.99E+06,5.04E-07,3.02E-05
45,1.80E+06,5.57E-07,2.99E-05
46,2.12E+06,4.72E-07,2.84E-05
47,2.00E+06,5.00E-07,3.23E-05
48,1.96E+06,5.11E-07,2.71E-05
49,2.12E+06,4.72E-07,3.01E-05
50,1.81E+06,5.53E-07,3.00E-05
51,1.98E+06,5.04E-07,2.97E-05
52,2.10E+06,4.76E-07,3.29E-05
53,1.90E+06,5.26E-07,2.97E-05
54,1.99E+06,5.03E-07,2.91E-05
55,2.28E+06,4.39E-07,3.16E-05
56,2.02E+06,4.95E-07,3.11E-05
57,2.07E+06,4.84E-07,3.27E-05
58,2.17E+06,4.61E-07,3.11E-05
59,2.08E+06,4.80E-07,3.16E-05
60,1.86E+06,5.39E-07,2.94E-05
61,1.92E+06,5.20E-07,3.05E-05
62,2.21E+06,4.53E-07,3.33E-05
63,1.96E+06,5.11E-07,3.11E-05
64,2.10E+06,4.75E-07,2.98E-05
65,2.18E+06,4.59E-07,2.96E-05
66,1.94E+06,5.15E-07,2.69E-05
67,2.19E+06,4.56E-07,3.35E-05
68,1.82E+06,5.50E-07,2.80E-05
69,2.12E+06,4.71E-07,2.99E-05
70,2.11E+06,4.73E-07,3.15E-05
71,2.04E+06,4.90E-07,3.01E-05
72,2.15E+06,4.64E-07,3.09E-05
73,2.40E+06,4.17E-07,3.05E-05
74,1.85E+06,5.42E-07,3.04E-05
75,2.09E+06,4.78E-07,3.36E-05
76,2.16E+06,4.63E-07,3.10E-05
77,2.02E+06,4.95E-07,3.06E-05
78,2.06E+06,4.84E-07,3.46E-05
79,2.03E+06,4.92E-07,2.97E-05
80,2.01E+06,4.96E-07,2.94E-05
81,2.12E+06,4.72E-07,3.38E-05
82,2.06E+06,4.85E-07,3.02E-05
83,2.20E+06,4.55E-07,3.15E-05
84,2.02E+06,4.95E-07,2.99E-05
85,2.04E+06,4.90E-07,3.16E-05
86,2.09E+06,4.79E-07,3.14E-05
87,2.07E+06,4.83E-07,3.29E-05
88,1.98E+06,5.05E-07,2.93E-05
89,2.00E+06,4.99E-07,3.06E-05
90,1.97E+06,5.06E-07,2.81E-05
91,1.79E+06,5.57E-07,3.04E-05
92,2.22E+06,4.51E-07,3.14E-05
93,2.06E+06,4.86E-07,3.05E-05
94,2.12E+06,4.71E-07,2.99E-05
95,2.18E+06,4.58E-07,3.05E-05
96,1.81E+06,5.52E-07,3.14E-05
97,1.98E+06,5.05E-07,2.92E-05
98,2.04E+06,4.90E-07,2.80E-05
99,1.80E+06,5.56E-07,2.85E-05
100,2.01E+06,4.99E-07,3.04E-05
