run,freq_Hz,period_s,idd_A
1,5.53794E+06,1.80572E-07,2.87689E-05
2,4.88646E+06,2.04647E-07,3.00014E-05
3,5.67684E+06,1.76154E-07,2.92006E-05
4,5.82791E+06,1.71588E-07,2.85479E-05
5,6.37185E+06,1.5694E-07,3.09919E-05
6,6.39569E+06,1.56355E-07,3.09157E-05
7,5.95961E+06,1.67796E-07,3.03067E-05
8,5.54444E+06,1.80361E-07,3.08045E-05
9,6.19783E+06,1.61347E-07,2.87465E-05
10,6.33792E+06,1.57781E-07,2.90445E-05
11,5.87206E+06,1.70298E-07,2.88765E-05
12,6.49857E+06,1.5388E-07,3.219E-05
13,5.9208E+06,1.68896E-07,2.77388E-05
14,5.84884E+06,1.70974E-07,3.19268E-05
15,5.13165E+06,1.94869E-07,2.78547E-05
16,0,0,0
17,7.10928E+06,1.40661E-07,3.00542E-05
18,6.16655E+06,1.62165E-07,2.91715E-05
19,5.63456E+06,1.77476E-07,3.21145E-05
20,6.35534E+06,1.57348E-07,3.12523E-05
21,5.93759E+06,1.68419E-07,3.06089E-05
22,6.13842E+06,1.62908E-07,2.97866E-05
23,5.58006E+06,1.79209E-07,3.32375E-05
24,5.02848E+06,1.98867E-07,3.14897E-05
25,6.12399E+06,1.63292E-07,3.09387E-05
26,6.09019E+06,1.64199E-07,3.03157E-05
27,6.79599E+06,1.47145E-07,3.11379E-05
28,3.95782E+06,2.52664E-07,3.02336E-05
29,6.31011E+06,1.58476E-07,3.15188E-05
30,5.82665E+06,1.71625E-07,3.10835E-05
