edge,time_s
2,4.9216E-07
3,9.77355E-07
4,1.46254E-06
5,1.94774E-06
6,2.43295E-06
7,2.91815E-06
8,3.40336E-06
9,3.88858E-06
10,4.3738E-06
11,4.85901E-06
12,5.3442E-06
13,5.82939E-06
14,6.31459E-06
15,6.79979E-06
16,7.285E-06
17,7.77021E-06
18,8.25543E-06
19,8.74065E-06
20,9.22585E-06
21,9.71104E-06
22,1.01962E-05
23,1.06814E-05
24,1.11666E-05
25,1.16518E-05
26,1.21371E-05
27,1.26223E-05
28,1.31075E-05
29,1.35927E-05
30,1.40779E-05
31,1.45631E-05
32,1.50483E-05
33,1.55335E-05
34,1.60187E-05
35,1.65039E-05
36,1.69891E-05
37,1.74743E-05
38,1.79595E-05
39,1.84447E-05
40,1.89299E-05
41,1.94151E-05
42,1.99003E-05
43,2.03855E-05
44,2.08708E-05
45,2.1356E-05
46,2.18412E-05
47,2.23264E-05
48,2.28116E-05
49,2.32968E-05
50,2.3782E-05
51,2.42672E-05
52,2.47524E-05
53,2.52376E-05
54,2.57228E-05
55,2.6208E-05
56,2.66932E-05
57,2.71784E-05
58,2.76636E-05
59,2.81488E-05
60,2.8634E-05
61,2.91192E-05
62,2.96044E-05
63,3.00897E-05
64,3.05749E-05
65,3.10601E-05
66,3.15453E-05
67,3.20305E-05
68,3.25157E-05
69,3.30009E-05
70,3.34861E-05
71,3.39713E-05
72,3.44565E-05
73,3.49417E-05
74,3.54269E-05
75,3.59121E-05
76,3.63973E-05
77,3.68825E-05
78,3.73677E-05
79,3.78529E-05
80,3.83381E-05
81,3.88233E-05
82,3.93086E-05
83,3.97938E-05
84,4.0279E-05
85,4.07642E-05
86,4.12494E-05
87,4.17346E-05
88,4.22198E-05
89,4.2705E-05
90,4.31902E-05
91,4.36754E-05
92,4.41606E-05
93,4.46458E-05
94,4.5131E-05
95,4.56162E-05
96,4.61014E-05
97,4.65866E-05
98,4.70718E-05
99,4.7557E-05
100,4.80423E-05
101,4.85275E-05
102,4.90127E-05
103,4.94978E-05
104,4.9983E-05
105,5.04682E-05
106,5.09535E-05
107,5.14387E-05
108,5.19239E-05
109,5.24091E-05
110,5.28943E-05
111,5.33795E-05
112,5.38647E-05
113,5.43499E-05
114,5.48351E-05
115,5.53203E-05
116,5.58055E-05
117,5.62907E-05
118,5.6776E-05
119,5.72611E-05
120,5.77463E-05
121,5.82315E-05
122,5.87167E-05
123,5.92019E-05
124,5.96872E-05
125,6.01724E-05
126,6.06576E-05
127,6.11428E-05
128,6.1628E-05
129,6.21132E-05
130,6.25984E-05
131,6.30836E-05
132,6.35688E-05
133,6.4054E-05
134,6.45392E-05
135,6.50244E-05
136,6.55096E-05
137,6.59948E-05
138,6.648E-05
139,6.69652E-05
140,6.74504E-05
141,6.79356E-05
142,6.84209E-05
143,6.89061E-05
144,6.93913E-05
145,6.98765E-05
146,7.03617E-05
147,7.08469E-05
148,7.13321E-05
149,7.18173E-05
150,7.23025E-05
