temp_C,vctrl_V,freq_Hz
-40,0.10,
-40,0.20,
-40,0.30,
-40,0.40,
-40,0.50,
-40,0.60,
-40,0.70,
-40,0.80,
-40,0.85,
-20,0.10,
-20,0.20,
-20,0.30,
-20,0.40,
-20,0.50,
-20,0.60,
-20,0.70,
-20,0.80,
-20,0.85,
0,0.10,
0,0.20,
0,0.30,
0,0.40,
0,0.50,
0,0.60,
0,0.70,
0,0.80,
0,0.85,
27,0.10,
27,0.20,
27,0.30,
27,0.40,
27,0.50,
27,0.60,
27,0.70,
27,0.80,
27,0.85,
50,0.10,
50,0.20,
50,0.30,
50,0.40,
50,0.50,
50,0.60,
50,0.70,
50,0.80,
50,0.85,
75,0.10,
75,0.20,
75,0.30,
75,0.40,
75,0.50,
75,0.60,
75,0.70,
75,0.80,
75,0.85,
100,0.10,
100,0.20,
100,0.30,
100,0.40,
100,0.50,
100,0.60,
100,0.70,
100,0.80,
100,0.85,
125,0.10,
125,0.20,
125,0.30,
125,0.40,
125,0.50,
125,0.60,
125,0.70,
125,0.80,
125,0.85,
